"domain,""date"",""plUrls"",""views"",""clicks"",""ctr"",""revenue"",""epc"",""rpm"",""percentFinalised"",""percentEstimate"",""percentForecast"",""Status"""
"loopmeisters.com,""16-May-2015"",""4.0"",""15"",""5"",""33.33"",""0.01"",""0.0"",""0.66"",""100.0"",""0.0"",""0.0"",""Final"""
"1800bookhotels.com,""16-May-2015"",""28.0"",""19"",""9"",""47.36"",""0.13"",""0.01"",""6.84"",""100.0"",""0.0"",""0.0"",""Final"""
"5starhotelsinflorida.com,""16-May-2015"",""11.0"",""9"",""9"",""100.0"",""0.01"",""0.0"",""1.11"",""100.0"",""0.0"",""0.0"",""Final"""
"5starhotelsinspain.com,""16-May-2015"",""114.0"",""93"",""73"",""78.49"",""1.15"",""0.01"",""12.36"",""100.0"",""0.0"",""0.0"",""Final"""
"aaafireplaces.com,""16-May-2015"",""12.0"",""10"",""5"",""50.0"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"adweirds.com,""16-May-2015"",""242.0"",""229"",""195"",""85.15"",""4.59"",""0.02"",""20.04"",""100.0"",""0.0"",""0.0"",""Final"""
"adwordassistant.com,""16-May-2015"",""14.0"",""15"",""4"",""26.66"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"aftermarketpartsdepot.com,""16-May-2015"",""13.0"",""17"",""2"",""11.76"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"allorganiccoupons.com,""16-May-2015"",""589.0"",""724"",""437"",""60.35"",""6.03"",""0.01"",""8.32"",""100.0"",""0.0"",""0.0"",""Final"""
"americaeagleautoglass.net,""16-May-2015"",""14.0"",""10"",""9"",""90.0"",""0.01"",""0.0"",""1.0"",""100.0"",""0.0"",""0.0"",""Final"""
"americandriftermotorcycles.com,""16-May-2015"",""14.0"",""14"",""10"",""71.42"",""0.01"",""0.0"",""0.71"",""100.0"",""0.0"",""0.0"",""Final"""
"americannutritionalwholesalers.com,""16-May-2015"",""16.0"",""14"",""10"",""71.42"",""0.07"",""0.0"",""5.0"",""100.0"",""0.0"",""0.0"",""Final"""
"applecidervinegartablets.net,""16-May-2015"",""15.0"",""13"",""8"",""61.53"",""0.06"",""0.0"",""4.61"",""100.0"",""0.0"",""0.0"",""Final"""
"appletuner.com,""16-May-2015"",""17.0"",""12"",""10"",""83.33"",""0.02"",""0.0"",""1.66"",""100.0"",""0.0"",""0.0"",""Final"""
"autopartscarcare.com,""16-May-2015"",""25.0"",""8"",""4"",""50.0"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"autorepairserviceexperts.com,""16-May-2015"",""13.0"",""10"",""10"",""100.0"",""0.01"",""0.0"",""1.0"",""100.0"",""0.0"",""0.0"",""Final"""
"azglasscoating.com,""16-May-2015"",""362.0"",""305"",""162"",""53.11"",""1.67"",""0.01"",""5.47"",""100.0"",""0.0"",""0.0"",""Final"""
"babymomhealthcare.com,""16-May-2015"",""12.0"",""9"",""2"",""22.22"",""0.02"",""0.01"",""2.22"",""100.0"",""0.0"",""0.0"",""Final"""
"bagluggageuk.com,""16-May-2015"",""9.0"",""8"",""2"",""25.0"",""0.01"",""0.0"",""1.25"",""100.0"",""0.0"",""0.0"",""Final"""
"bearcreeklanding.com,""16-May-2015"",""9.0"",""11"",""3"",""27.27"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"beardeddragonssale.com,""16-May-2015"",""21.0"",""17"",""7"",""41.17"",""0.02"",""0.0"",""1.17"",""100.0"",""0.0"",""0.0"",""Final"""
"beautifulbloomsflorist.net,""16-May-2015"",""274.0"",""284"",""149"",""52.46"",""0.55"",""0.0"",""1.93"",""100.0"",""0.0"",""0.0"",""Final"""
"beautifulhairbeautifulyou.com,""16-May-2015"",""21.0"",""12"",""7"",""58.33"",""0.02"",""0.0"",""1.66"",""100.0"",""0.0"",""0.0"",""Final"""
"beautyorskincare.com,""16-May-2015"",""2.0"",""12"",""8"",""66.66"",""0.03"",""0.0"",""2.5"",""100.0"",""0.0"",""0.0"",""Final"""
"besanfrancisco.com,""16-May-2015"",""168.0"",""122"",""74"",""60.65"",""3.05"",""0.04"",""25.0"",""100.0"",""0.0"",""0.0"",""Final"""
"bestbluejeans.com,""16-May-2015"",""17.0"",""11"",""6"",""54.54"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"bestcheapforbaby.com,""16-May-2015"",""9.0"",""8"",""2"",""25.0"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"bestlongtermcareinsurance.org,""16-May-2015"",""11.0"",""9"",""7"",""77.77"",""0.07"",""0.01"",""7.77"",""100.0"",""0.0"",""0.0"",""Final"""
"bestpokertournaments.net,""16-May-2015"",""8.0"",""8"",""0"",""0.0"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
"bestwinterparka.com,""16-May-2015"",""117.0"",""91"",""71"",""78.02"",""1.97"",""0.02"",""21.64"",""100.0"",""0.0"",""0.0"",""Final"""
"blackhatchat.com,""16-May-2015"",""12.0"",""11"",""6"",""54.54"",""0.02"",""0.0"",""1.81"",""100.0"",""0.0"",""0.0"",""Final"""
"blakesheltonlandscaping.com,""16-May-2015"",""17.0"",""8"",""4"",""50.0"",""1.45"",""0.36"",""181.25"",""100.0"",""0.0"",""0.0"",""Final"""
"bodybuilderfood.com,""16-May-2015"",""14.0"",""11"",""9"",""81.81"",""0.01"",""0.0"",""0.9"",""100.0"",""0.0"",""0.0"",""Final"""
"bodyfitnessonline.net,""16-May-2015"",""15.0"",""9"",""4"",""44.44"",""0.01"",""0.0"",""1.11"",""100.0"",""0.0"",""0.0"",""Final"""
"bosleyhairclinic.com,""16-May-2015"",""9.0"",""10"",""7"",""70.0"",""0.04"",""0.0"",""4.0"",""100.0"",""0.0"",""0.0"",""Final"""
"briteshop.com,""16-May-2015"",""17.0"",""15"",""5"",""33.33"",""0.03"",""0.0"",""2.0"",""100.0"",""0.0"",""0.0"",""Final"""
"buycheapjerseysstore.com,""16-May-2015"",""6.0"",""8"",""3"",""37.5"",""0.01"",""0.0"",""1.25"",""100.0"",""0.0"",""0.0"",""Final"""
"buyelectronicsbestprice.com,""16-May-2015"",""487.0"",""534"",""393"",""73.59"",""1.76"",""0.0"",""3.29"",""100.0"",""0.0"",""0.0"",""Final"""
"buygoosejacket.com,""16-May-2015"",""15.0"",""8"",""6"",""75.0"",""0.01"",""0.0"",""1.25"",""100.0"",""0.0"",""0.0"",""Final"""
"camoclicks.com,""16-May-2015"",""0.0"",""11"",""6"",""54.54"",""0.12"",""0.02"",""10.9"",""100.0"",""0.0"",""0.0"",""Final"""
"casinopokercloud.com,""16-May-2015"",""13.0"",""13"",""12"",""92.3"",""0.13"",""0.01"",""10.0"",""100.0"",""0.0"",""0.0"",""Final"""
"cheapbootslippers.com,""16-May-2015"",""9.0"",""14"",""10"",""71.42"",""0.01"",""0.0"",""0.71"",""100.0"",""0.0"",""0.0"",""Final"""
"cheapchristianlouboutinstoreforyou.com,""16-May-2015"",""11.0"",""5"",""0"",""0.0"",""0.0"",""0.0"",""0.0"",""100.0"",""0.0"",""0.0"",""Final"""
